id,cpf,nome,valor,vencimento,pago
B249422156116675,417.852.039-32,Maysa Lima,924.36,2026-06-07,True
B249422156116675,417.852.039-32,Maysa Lima,924.36,2026-06-07,True
B061595580630328,462.751.903-61,João Pedro Novais,453.84,2026-06-07,False
B887613472164070,145.780.629-02,Paulo Porto,137.79,2026-06-07,True
B134626199962308,245.731.986-28,Bárbara Porto,304.92,2026-06-07,False
B714202749269416,152.349.087-04,Dr. Anthony Araújo,613.62,2026-06-07,False
B497060858059971,763.981.450-20,Gael Ramos,657.85,2026-06-07,False
B570346375976994,429.365.018-06,Ana Laura Peixoto,428.39,2026-06-07,True
B102547554055097,587.096.423-74,Stephany da Mota,298.86,2026-06-07,True
B665912182848187,635.792.814-37,Ryan Andrade,444.5,2026-06-07,False
B784526132773225,597.183.624-28,Dr. Renan Freitas,499.07,2026-06-07,False
B212373187257686,215.076.384-26,Maria Julia Vasconcelos,409.37,2026-06-07,True
B026051991079903,507.294.681-94,Daniel das Neves,932.16,2026-06-07,False
B017518592133945,298.710.346-87,Pedro Henrique Novaes,41.17,2026-06-07,True
B048716831192906,249.607.381-03,Dra. Eloah Carvalho,903.16,2026-06-07,True
B406200480915808,894.263.501-60,Matteo Silva,851.22,2026-06-07,False
B820088439787464,048.375.192-88,Ryan Cunha,468.61,2026-06-07,True
B477191565643275,679.518.032-86,João Lucas Marques,515.75,2026-06-07,True
B488849734954772,758.391.264-46,Davi Luiz Castro,172.7,2026-06-07,True
B587756761051110,407.653.289-92,Raquel Cavalcanti,145.93,2026-06-07,False
B758790856908277,731.269.508-68,Mariana Barros,250.8,2026-06-07,True
B219158546890169,461.879.305-84,Maysa Rios,381.56,2026-06-07,True
B288418925476230,631.472.850-90,Bernardo Nunes,941.32,2026-06-07,True
B483459921682866,078.962.413-31,Felipe Ramos,858.99,2026-06-07,True
B382019206918525,412.068.739-22,Danilo Rodrigues,840.48,2026-06-07,False
B117752259437549,063.781.925-02,Manuella Oliveira,63.26,2026-06-07,False
B547986774403090,786.152.493-00,Manuela Carvalho,883.42,2026-06-07,True
B726680710207221,609.753.824-38,Emanuel Caldeira,300.96,2026-06-07,False
B118454681769426,310.746.582-80,Allana Mendes,326.32,2026-06-07,False
B884935919221942,498.760.513-93,Maria Julia Rocha,617.41,2026-06-07,True
B046953786601252,976.283.054-74,Enzo Oliveira,533.64,2026-06-07,True
